All,Vše
"We can't configure the product right now.","Produkt momentálně nelze konfigurovat."
"Invalid item option format.","Neplatný formát volby položky."
"Cannot specify product.","Produkt nelze určit."
Exception,Výjimka
"Could not save","Nelze uložit"
"Edit item","Upravit položku"
Copy,Kopírovat
Ok,OK
"Save Review","Uložit recenzi"
"New Review","Nová recenze"
"Review Details","Nastavení recenze"
"Product Rating","Hodnocení produktu"
Nickname,Přezdívka
"Summary of Review","Souhrn recenze"
"Save and Previous","Uložit a předchozí"
"Save and Next","Uložit a další"
"Delete Review","Odstranit recenzi"
"Edit Review '%1'","Upravit recenzi '%1'"
Administrator,Správce
Author,Autor
"Summary Rating","Souhrnné hodnocení"
"Detailed Rating","Podrobné hodnocení"
"Update Status","Upravit stav"
"Pending Reviews of Customer `%1`","Nevyřízené recenze zákazníka `%1`"
"Pending Reviews","Nevyřízené recenze"
"All Reviews of Customer `%1`","Všechny recenze zákazníka `%1`"
"All Reviews of Product `%1`","Všechny recenze produktu `%1`"
"All Reviews","Všechny recenze"
"Product Store Name","Název obchodu produktu"
"Manage Ratings","Správa hodnocení"
"Add New Rating","Přidat nové hodnocení"
"Save Rating","Uložit hodnocení"
"Delete Rating","Odstranit hodnocení"
"Edit Rating #%1","Upravit hodnocení č. %1"
"New Rating","Nové hodnocení"
"Rating Title","Název hodnocení"
"Rating Visibility","Viditelnost hodnocení"
"Is Active","Je aktivní"
"Rating Information","Nastavení hodnocení"
"Pending product review(s)","Nevyřízené recenze produktu"
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>","Produkt: <a href=""%1"" target=""_blank"">%2</a> <br/>"
"Summary of review: %1 <br/>","Souhrn recenze: %1 <br>"
"Review: %1 <br/>","Recenze: %1 <br>"
"Store: %1 <br/>","Obchod: %1 <br>"
"Click <a href=""%1"">here</a> to see the review.","Kliknutím <a href=""%1"">zde</a> recenzi zobrazíte."
"Product: ""%1"" reviewed by: %2","Hodnocení produktu: ""%1"" od: %2"
"Pending Reviews RSS","RSS zdroj nevyřízených recenzí"
"Reviews %1","Recenze %1"
"The review has been deleted.","Recenze byla odstraněna."
"Something went wrong  deleting this review.","Při odstranění recenze nastala chyba."
"Customer Reviews","Recenze zákazníka"
"Edit Review","Upravit recenzi"
"We can't retrieve the product ID.","ID produktu nelze načíst."
"Please select review(s).","Zvolte recenze prosím."
"Something went wrong while deleting these records.","Při odstranění recenzí nastala chyba."
"Something went wrong while updating these review(s).","Při ukládání recenzí nastala chyba."
"You saved the review.","Recenze byla uložena."
"Something went wrong while saving this review.","Při ukládání recenze nastala chyba."
"The review was removed by another user or does not exist.","Recenze již byla odstraněna jiným uživatelem nebo neexistuje."
"You deleted the rating.","Hodnocení bylo odstraněno."
Ratings,Hodnocení
"You saved the rating.","Hodnocení bylo uloženo."
"My Product Reviews","Mé recenze produktů"
"You submitted your review for moderation.","Recenze byla odeslána ke schválení."
"We can't post your review right now.","Recenzi momentálně nelze odeslat."
Approved,Schváleno
"Not Approved",Zamítnuto
"Please enter a review summary.","Zadejte souhrn recenze prosím."
"Please enter a nickname.","Zadejte jméno/přezdívku prosím."
"Please enter a review.","Zadejte recenzi prosím."
"Rating isn't Available","Hodnocení není dostupné"
"Please specify a rating title for a store, or we'll just use the default value.","Zadejte prosím název hodnocení v obchodě nebo bude použita výchozí hodnota."
"Assigned Options","Přiřazené možnosti"
"Option Title:","Název možnosti:"
Rating,Hodnocení
"You have submitted no reviews.","Zatím jste neodeslal(a) žádnou recenzi."
"My Recent Reviews","Mé nedávné recenze"
"View All","Zobrazit vše"
"Average Customer Rating:","Průměrné hodnocení zákazníků:"
"Your Review","Vaše recenze"
"Submitted on %1","Odesláno %1"
"Back to My Reviews","Zpět k mým recenzím"
"Ratings Review Summary","Souhrn hodnocení"
"Be the first to review this product","Staňte se prvním recenzentem produktu"
"Write Your Own Review","Napište svou recenzi"
"You're reviewing:","Prohlížíte si:"
"Your Rating","Vaše hodnocení"
"Submit Review","Odeslat recenzi"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Recenze mohou psát pouze registrovaní zákazníci. <a href=""%1"">Přihláste se</a> nebo <a href=""%2"">registrujte</a> prosím"
"Add Your Review","Napište svou recenzi"
"%1 Review(s)","Recenzí %1"
"Review by",Napsal
"Posted on","Publikováno dne"
"Back to Main Product Info","Zpět na stránku produktu"
"Average Customer Rating","Průměrné hodnocení zákazníků"
"Product Rating:","Hodnocení produktu:"
"Product Review (submitted on %1):","Recenze produktu (odesláno %1):"
"Back to Product Reviews","Zpět na recenze produktů"
"Please select one of each of the ratings above.","Zvolte jednu možnost z výše uvedených prosím."
"Allow Guests to Write Reviews","Umožnit hostům psát recenze"
"Reward Points History","Historie věrnostních bodů"
"No Data","Žádná data"
"Delete Orphan Points","Odstranit osiřelé body"
"Add New Rate","Přidat novou sazbu"
Direction,Směr
"You saved the rate.","Sazba byla uložena."
"We can't save this rate right now.","Tuto sazbu DPH momentálně nelze uložit."
"You can't unsubscribed right now.","Momentálně jste z odběru odhlášen."
"Registered as customer","Registrován jako zákazník"
"You don't have enough reward points to pay for this purchase.","K úhradě nákupu nemáte dostatek bodů."
Each,Každý
First,První
"upper boundary","horní hranice"
Points,Body
"Current exchange rates:","Aktuální směnné kurzy:"
"Reward points","Věrnostní body"
"Use reward points","Použít věrnostní body"
Registration,Registrace
"Newsletter Signup","Registrace k odběru newsletteru"
"Add Reward Points","Přidat věrnostní body"
"Subscribe to our newsletter now and earn %1.","Přihlaste se k odběru newsletteru nyní a získejte %1."
Return,Vratka
Returns,Vratky
"Create Returns","Vytvořit vratky"
"New Return Request","Nový požadavek na vrácení"
"Please Select Order","Vyberte objednávku"
"Grand Total (Base)","Celkový součet (základ)"
"Grand Total (Purchased)","Celkový součet (koupeno)"
"Return #%1 - %2","Vratka #%1 - %2"
"Submit Comment","Odeslat komentář"
"Custom Value","Vlastní hodnota"
"Print Shipping Label","Tisk štítku pro dopravu"
"Show Packages","Zobrazit balíčky"
"Return Items","Vrácené položky"
Returned,Vráceno
"Return Reason","Důvod vrácení"
Split,Rozdělit
"Return Information","Informace o vrácení"
"Return Item Attribute","Atribut položky vratky"
"Submit Returns","Odeslat vratky"
"Remaining Qty","Zbývající množství"
"Requested Qty","Požadované množství"
"Reason to Return","Důvod vrácení"
"Invalid RMA","Neplatné RMA"
"We can't retrieve the product list right now.","Seznam produktů momentálně nelze načíst."
"Please specify a carrier.","Zvolte přepravce prosím."
"Please enter a tracking number.","Zadejte sledovací číslo prosím."
"We can't add a message right now.","Zprávu momentálně nelze přidat."
"New Return","Nová vratka"
"We can't create a shipping label right now.","Přepravní štítek momentálně nelze vytvořit."
"We can't delete the RMA item attribute right now.","Položku RMA atributu momentálně nelze odstranit."
"Edit Return Item Attribute","Upravit atribut vracené položky"
"Returns Attributes","Atributy vratky"
"New Return Attribute","Nový atribut vratky"
"A quantity you're trying to add exceeds the number of products we shipped.","Množství, které chcete přidat převyšuje počet produktů, které jsme dodali."
"Products should be added to package(s)","Produkt by měly být přidán k zásilce"
"We can't delete the tracking number right now.","Sledovací číslo momentálně nelze odstranit."
"We can't save this RMA.","Tuto RMA nelze uložit."
"You did not email your customer. Please check your email settings.","E-mail zákazníkovi nebyl odeslán. Zkontrolujte nastavení e-mailu prosím."
"We can't add a label right now.","Štítek momentálně nelze přidat."
"We can't create a return transaction for order #%1.","Vrácení transakce z objednávky č. %1 nelze vytvořit."
"Create New Return","Vytvořit novou vratku"
"We can't delete the label right now.","Štítek momentálně nelze odstranit."
"We can't create a return right now. Please try again later.","Momentálně nelze vratku vytvořit. Opakujte později prosím."
"Return #%1","Vratka č."
"My Returns","Moje vratky"
"Tracking Information","Sledovací údaje"
"Page not found","Stránka nebyla nalezena"
"Contact Email Address","Kontaktní e-mailová adresa"
"Return # ","Vratka č."
"Return Date: ","Datum vrácení: "
"Order # ","Objednávka č. "
"Ordered: ","Objednáno: "
"Return Address:","Adresa pro vrácení:"
"Authorized Qty","Schválené množství"
"Returned Qty","Vrácené množství"
"Approved Qty","Schválené množství"
"You cannot return %1.","Nelze vrátit %1."
"We can't save this RMA. No items were specified.","Tuto RMA nelze uložit. Nebyly zvoleny žádné položky."
"Partially Authorized","Částečně schváleno"
"Return Received","Vratka přijata"
"Return Partially Received","Vratka částečně přijata"
"Partially Approved","Částečně schváleno"
"ID cannot be an empty","ID nesmí být prázdné"
"No detail for number ""%1""","Pro číslo ""%1"" žádné podrobnosti"
"Shipment does not exists.","Zásilka neexistuje."
"We can't load track with retrieving identifier right now.","Se získaným identifikátorem trasu nelze momentálně nahrát."
"All Items","Všechny položky"
"Individual Items","Jednotlivé položky"
"Customer Name","Jméno zákazníka"
"Comment Text","Text komentáře"
"Visible on Storefront","Viditelný v obchodě"
"Customer Service","Zákaznická podpora"
"Not Notified","nebyl informován"
"Return Address","Adresa pro vrácení"
"Delete Line","Ostranit řádek"
"Customs Value","Vlastní hodnota"
"Qty Ordered","Objednané množství"
Carrier,Dopravce
Number,Číslo
"Create Shipping Label","Vytvořit štítek pro dopravu"
"Return Confirmation","Potvrzení vratky"
"Please Select Products to Add","Vyberte produkty pro přidání"
"Return items","Vrácené položky"
Sub-items,Pod-položky
"Quantity To Return","Množství k vrácení"
"Remaining Quantity:","Zbývající množství: "
"Return #","Vratka č."
"Return Status","Stav vratky"
"View Return","Zobrazit vratku"
"You have placed no returns.","Nemáte žádné vratky."
Packages,Balíčky
Package,Balíček
Length,Délka
"Total Weight","Celková hmotnost"
"Items in the Package","Položky v zásilce"
"Shipping and Tracking Information","Informace o dopravě a sledování zásilky"
"Track this shipment","Sledovat tuto zásilku"
"Request Qty","Požadované množství"
"Hide Details","Skrýt detaily"
"Show Details","Zobrazit podrobnosti"
Questions,Otázky
Answers,Odpovědi
"Create Packages","Vytvořit balíčky"
"Add Package","Přidat balíček"
"Contact Name","Kontaktní jméno"
"Enabled for RMA","Zapnuto v RMA"
Feed,Zdroj
"Miscellaneous Feeds","Různé informační kanály"
"Get Feed","Odebírat RSS"
"RSS Feeds Section","Sekce RSS zdroje"
"RSS Feeds","RSS kanály"
"Rss Config","Nastavení RSS"
"Enable RSS","Povolit RSS"
"Please choose a valid discount amount.","Zvolte prosím platnou částku slevy."
"End Date must follow Start Date.","Datum ukončení musí následovat po datu zahájení."
"Please specify Customer Groups.","Zvolte skupiny zákazníků prosím."
by,od
"Please choose an action to add.","Zvolte činnost prosím."
"Perform following actions","Proveďte následující kroky"
"does not contain",neobsahuje
ALL,VŠECHNY
ANY,NĚKTERÉ
TRUE,PLATNÉ
FALSE,NEPLATNÉ
"If %1 of these conditions are %2:","Pokud %1 z těchto podmínek jsou %2:"
"Unknown condition operator","Neznámý operátor podmínky"
"There is no information about associated entity type ""%1"".","Nejsou žádné informace o přiřazeném typu entity ""%1""."
"Credit Memos",Dobropisy
Invoices,Faktury
"We can't get the order instance right now.","Instanci objednávky momentálně nelze získat."
"Create New Order","Nová objednávka"
"Save Order Address","Uložit adresu objednávky"
"Edit Order %1 %2 Address","Upravit %2 adresu objednávky %1"
"Order Address Information","Údaje adresy objednávky"
"Please correct the parent block for this block.","Opravte blok nadřazený tomuto bloku prosím."
"Submit Order","Vystavit objednávku"
"Are you sure you want to cancel this order?","Skutečně chcete tuto objednávku zrušit?"
"Order Comment","Komentář objednávky"
"Please select a customer","Zvolte zákazníka"
"Edit Order #%1","Upravit objednávku č.%1"
"Create New Order for %1 in %2","Vytvořit novou objednávku v %2 pro %1"
"Create New Order for %1","Vytvořit novou objednávku pro %1"
"Create New Order for New Customer","Tvorba nové objednávky pro nového zákazníka"
"Items Ordered","Objednané položky"
"This product is disabled.","Tento produkt je vypnutý."
"Buy %1 for price %2","Kupte %1 za %2"
"Item ordered qty","Objednané množství"
"%1 with %2 discount each","%1 s %2 slevou"
"%1 for %2","%1 za %2"
"* - Enter custom price including tax","* - Zadejte vlastní cenu s DPH"
"* - Enter custom price excluding tax","* - Zadejte vlastní cenu bez DPH"
"This product does not have any configurable options","Tento produkt nemá žádné konfigurovatelné parametry"
"Please select products","Zvolte produkty prosím"
"Add Selected Product(s) to Order","Přidat zvolené produkty k objednávce"
"Update Changes","Aktualizovat změny"
"Are you sure you want to delete all items from shopping cart?","Skutečně chcete z košíku odstranit všechny produkty?"
"Products in Comparison List","Porovnávané produkty"
"Last Ordered Items","Poslední objednané produkty"
"Please select a store","Zvolte obchod prosím"
"Order Totals","Objednávka celkem"
"Shipping Incl. Tax (%1)","Přepravné s DPH (%1)"
"Shipping Excl. Tax (%1)","Přepravné bez DPH (%1)"
"New Credit Memo for Invoice #%1","Nový dobropis k faktuře č. %1"
"New Credit Memo for Order #%1","Nový dobropis k objednávce č. %1"
"Refund Shipping (Incl. Tax)","Vrátit přepravné (s DPH)"
"Refund Shipping (Excl. Tax)","Vrátit přepravné (bez DPH)"
"Refund Shipping","Vrátit přepravné"
"Update Qty's","Upravit množství"
Refund,Vrátit
"Refund Offline","Vrátit offline"
"Paid Amount","Uhrazená částka"
"Refund Amount","Vrácená částka"
"Shipping Amount",Přepravné
"Shipping Refund","Vrácené přepravné"
"Order Grand Total","Celkový součet objednávky"
"Adjustment Refund","Nastavení vratky"
"Adjustment Fee","Nastavení poplatku"
"Send Email","Odeslat e-mail"
"Are you sure you want to send a credit memo email to customer?","Skutečně chcete e-mail dobropisu zaslat zákazníkovi?"
"The credit memo email was sent.","E-mail dobropisu byl odeslán."
"The credit memo email wasn't sent.","E-mail dobropisu nebyl odeslán."
"Credit Memo #%1 | %3 | %2 (%4)","Dobropis č. %1 | %3 | %2 (%4)"
"Total Refund","Celkem vrátit"
"New Invoice and Shipment for Order #%1","Nová faktura a zásilka k objednávce č. %1"
"New Invoice for Order #%1","Nová faktura k objednávce č. %1"
"Submit Invoice and Shipment","Vystavit fakturu a zásilku"
"Submit Invoice","Vystavit fakturu"
"Are you sure you want to send an invoice email to customer?","Skutečně chcete e-mail faktury zaslat zákazníkovi?"
"Credit Memo",Dobropis
Capture,Získat
"The invoice email was sent.","E-mail faktury byl odeslán."
"The invoice email wasn't sent.","E-mail faktury nebyl odeslán."
"Invoice #%1 | %2 | %4 (%3)","Faktury č. %1 | %2 | %4 (%3)"
"Invalid parent block for this block","Neplatná nadřazený blok tohoto bloku"
"Order Statuses","Stavy objednávek"
"Create New Status","Vytvořit nový stav"
"Assign Status to State","Přiřadit status k situaci"
"Save Status Assignment","Uložit přiřazení stavu"
"Assign Order Status to State","Přiřazení statusu k situaci"
"Assignment Information","Nastavení přiřazení"
"Order State","Situace objednávky"
"Use Order Status As Default","Použít jako výchozí stav objednávky"
"Visible On Storefront","Viditelný v obchodě"
"Edit Order Status","Úprava stavu objednávky"
"Save Status","Uložit stav"
"Order Status Information","Nastavení stavu objednávky"
"Status Code","Kód stavu"
"Status Label","Označení stavu"
"Store View Specific Labels","Specifická označení zobrazení obchodu"
"Total Paid","Celkem uhrazeno"
"Are you sure you want to send an order email to customer?","Skutečně chcete e-mail objednávky zaslat zákazníkovi?"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","Tímto bude vytvořena offline vratka. Chcete-li vytvořit online vratku, otevřete fakturu a vystavte k ní dobropis. Chcete pokračovat?"
"Are you sure you want to void the payment?","Skutečně chcete zrušit tuto platbu?"
Hold,Pozastavit
hold,pozastavit
Unhold,Uvolnit
unhold,uvolnit
"Are you sure you want to accept this payment?","Skutečně chcete přijmout tuto platbu?"
"Accept Payment","Přijmout platbu"
"Are you sure you want to deny this payment?","Skutečně chcete odmítnout tuto platbu?"
"Deny Payment","Odepření platby"
"Get Payment Update","Získat aktualizaci platby"
"Invoice and Ship","Faktura a zásilka"
Ship,Zaslat
"Order # %1 %2 | %3","Objednávka č. %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","Tato objednávka obsahuje (%1) položky, a proto ji nelze upravit v rozhraní správy. Chcete-li v úpravách pokračovat, položky (%2) budou odebrány, objednávka bude zrušena a bude vytvořena nová objednávka."
"Are you sure? This order will be canceled and a new one will be created instead.","Skutečně? Tato objednávka bude zrušena a místo ní bude vytvořena nová."
"Save Gift Message","Uložit darovací vzkaz"
"Order Credit Memos","Dobropisy objednávky"
"Credit memo #%1 created","Dobropis č. %1 byl vytvořen"
"Credit memo #%1 comment added","Komentář k dobropisu č. %1 byl vytvořen"
"Shipment #%1 created","Zásilka č. %1 byla vytvořena"
"Shipment #%1 comment added","Komentář k zásilce č. %1 byl vytvořen"
"Invoice #%1 created","Faktura č. %1 byla vytvořena"
"Invoice #%1 comment added","Komentář k faktuře č. %1 byl vytvořen"
"Tracking number %1 for %2 assigned","Sledovací číslo %1 k %2 bylo přiřazeno"
"Comments History","Historie komentářů"
"Order History","Historie objednávky"
"Order Information","Informace o objednávce"
"Order Invoices","Faktury objednávky"
Shipments,Zásilky
"Order Shipments","Zásilky objednávky"
Transactions,Transakce
"Order View","Zobrazení objednávky"
"Applies to Any of the Specified Order Statuses except canceled orders","Lze použít na všechny zadané stavy kromě zrušených objednávek"
"Show Actual Values","Zobrazit aktuální hodnoty"
"New Order RSS","RSS - nové objednávky"
"Discount (%1)","Sleva (%1)"
"Transaction # %1 | %2","Transakce č. %1 | %2"
Value,Hodnota
"We found an invalid entity model.","Byl nalezen neplatný model entity."
"Back to My Orders","Zpět k mým objednávkám"
"View Another Order","Zobrazit jinou objednávku"
"About Your Refund","Údaje Vaší vratky"
"You have placed no orders.","Nemáte žádné objednávky."
"Subscribe to Order Status","Odběr stavu objednávky"
"About Your Invoice","Údaje faktury"
"Print Order # %1","Tisk objednávky č. %1"
"Grand Total to be Charged","Celkový k úhradě"
Unassign,"Zrušit přiřazení"
"You sent the message.","Zpráva byla odeslána."
"Invoice capturing error","Chyba při zachycení faktury"
"This order no longer exists.","Objednávka již neexistuje."
"We cannot add order history.","Historii objednávky nelze přidat."
"You updated the order address.","Adresa objednávky byla upravena."
"We can't update the order address right now.","Adresu objednávky momentálně nelze upravit."
"You have not canceled the item.","Položka nebyla zrušena."
"You canceled the order.","Objednávka byla zrušena."
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","Kód kupónu ""%1"" nebyl použit. Sleva na zvolené produkty nebyla uplatněna"
"The coupon code has been accepted.","Kód kuponu byl přijat."
"New Order","Nová objednávka"
"Cannot add new comment.","Nelze přidat nový komentář."
"The credit memo has been canceled.","Dobropis byl zrušen."
"Credit memo has not been canceled.","Dobropis nebyl zrušen."
"New Memo for #%1","Nový dobropis pro č. %1"
"New Memo","Nová poznámka"
"The credit memo's total must be positive.","Hodnota dobropisu musí být kladné číslo."
"Cannot create online refund for Refund to Store Credit.","Online vratku nelze vytvořit vrácením kreditu obchodu."
"You created the credit memo.","Dobropis byl vytvořen."
"We can't save the credit memo right now.","Dobropis momentálně nelze uložit."
"We can't update the item's quantity right now.","Množství položky momentálně nelze upravit."
"View Memo for #%1","Zobrazit poznámku pro č. %1"
"View Memo","Zobrazit poznámku"
"You voided the credit memo.","Dobropis byl anulován."
"We can't void the credit memo.","Nepodařilo se anulovat dobropis."
"The order no longer exists.","Objednávka již neexistuje."
"We can't create credit memo for the order.","Nelze vytvořit dobropis pro danou objednávku."
"Edit Order","Upravit objednávku"
"You sent the order email.","E-mail objednávky byl odeslán."
"We can't send the email order right now.","E-mail objednávky momentálně nelze odeslat."
"You have not put the order on hold.","Žádnou objednávku nelze pozastavit."
"You put the order on hold.","Objednávka byla pozastavena."
"You canceled the invoice.","Faktura byla zrušena."
"Invoice canceling error","Chyba při rušení faktury"
"The invoice has been captured.","Platba faktury byla získána."
"The order does not allow an invoice to be created.","Objednávka neumožňuje vytvořit fakturu."
"New Invoice","Nová faktura"
"We can't send the invoice email right now.","E-mail faktury momentálně nelze odeslat."
"We can't send the shipment right now.","Zásilku momentálně nelze odeslat."
"You created the invoice and shipment.","Faktura a zásilka byly vytvořena."
"The invoice has been created.","Faktura byla vytvořena."
"Cannot update item quantity.","Množství položky nelze upravit."
"The invoice has been voided.","Faktura byla stornována."
"Invoice voiding error","Chyba při anulování faktury"
"%1 order(s) cannot be canceled.","%1 objednávku(y) nelze zrušit."
"You cannot cancel the order(s).","Objednávku(y) nelze zrušit."
"We canceled %1 order(s).","%1 objednávek(y) bylo zrušeno."
"%1 order(s) were not put on hold.","Nebylo pozastaveno %1 objednávek."
"No order(s) were put on hold.","Žádné objednávky nebyly pozastaveny."
"You have put %1 order(s) on hold.","Bylo pozastaveno %1 objednávek."
"%1 order(s) were not released from on hold status.","%1 objednávek nelze uvolnit ze stavu pozastaveno."
"No order(s) were released from on hold status.","Žádná objednávka nebyla uvolněna."
"%1 order(s) have been released from on hold status.","%1 objednávek bylo uvolněno ze stavu pozastaveno."
"There are no printable documents related to selected orders.","Ke zvoleným objednávkám nejsou k dispozici žádné tisknutelné dokumenty."
"The payment has been accepted.","Platba byla přijata."
"The payment has been denied.","Platba byla odepřena."
"Transaction has been approved.","Transakce byla schválena."
"Transaction has been voided/declined.","Transakce byla zamítnuta/zrušena."
"There is no update for the transaction.","Aktualizace transakce není k dispozici."
"We can't update the payment right now.","Platbu momentálně nelze upravit."
"You assigned the order status.","Stav objednávky byl přiřazen."
"Something went wrong while assigning the order status.","Při přiřazení objednávky nastala chyba."
"We can't find this order status.","Tento stav objednávky nelze najít."
"Create New Order Status","Vytvořit nový stav objednávky"
"We found another order status with the same order status code.","Byl nalezen další stav objednávky se stejným kódem stavu."
"You saved the order status.","Stav objednávky byl uložen."
"We can't add the order status right now.","Stav objednávky momentálně nelze přidat."
"You have unassigned the order status.","Přiřazení stavu objednávky bylo zrušeno."
"Something went wrong while unassigning the order.","Při rušení přiřazení objednávky nastala chyba."
"Can't unhold order.","Objednávku nelze uvolnit."
"You released the order from holding status.","Objednávka byla uvolněna."
"The order was not on hold.","Objednávka nebyla pozastavena."
"Exception occurred during order load","Při načítání objednávky došlo výjimce"
"Something went wrong while saving the gift message.","Při ukládání darovací zprávy nastala chyba."
"You saved the gift card message.","Dárkový certifikát byl uložen."
"The payment has been voided.","Platba byla zrušena."
"We can't void the payment right now.","Platbu momentálně nelze zrušit."
"Please correct the transaction ID and try again.","Opravte ID transakce prosím a zkuste to znovu."
"The transaction details have been updated.","Podrobnosti transakce byly aktualizovány."
"We can't update the transaction details.","Podrobnosti transakce nelze upravit."
"Orders and Returns","Zjistit stav objednávky"
"You entered incorrect data. Please try again.","Byly zadány nesprávné údaje. Zkuste to znovu prosím."
"We could not add a product to cart by the ID ""%1"".","Požadovaný produkt nelze podle ID ""%1"" do košíku přidat."
"There is an error in one of the option rows.","V jednom z řádků voleb je chyba."
"Shipping Address: ","Doručovací adresa: "
"Billing Address: ","Fakturační adresa: "
"Please specify order items.","Zadejte položky objednávky."
"This payment method is not available.","Způsob platby není k dispozici."
"Validation is failed.","Ověření se nezdařilo."
"Path ""%1"" is not part of allowed directory ""%2""","Cesta ""%1"" není částí povolených adresářů ""%2"""
"Identifying Fields required","Jsou požadovány identifikační údaje"
"A hold action is not available.","Akce pozastavit není dostupná."
"You cannot remove the hold.","Pozastavení nelze zrušit."
"Please enter the street.","Zadejte ulici."
"Please enter the city.","Zadejte město."
"Please enter the phone number.","Zadejte telefonní číslo prosím."
"Please enter the zip/postal code.","Zadejte PSČ."
"Please enter the country.","Zvolte zemi."
"Unknown State","Neznámá situace"
"We found an invalid quantity to refund item ""%1"".","Bylo nalezeno neplatné množství k vrácení položky ""%1""."
"Maximum shipping amount allowed to refund is: %1","Maximální povolená částka přepravného k vrácení je: %1"
"The most money available to refund is %1.","Největší možná částka ke vrácení je %1."
"This order already has associated customer account","Tato objednávka je již k účtu zákazníka přiřazena"
"We cannot register an existing invoice","Nelze zaregistrovat existující fakturu"
"Unknown Status","Neznámý stav"
Backordered,Doobjednáno
Partial,Částečně
Mixed,Smíšeně
"Registered a Void notification.","Registrovaná prázdná oznámení."
"If the invoice was created offline, try creating an offline credit memo.","Pokud byla faktura vytvořena offline, zkuste vytvořit offline dobropis."
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo.","IPN ""Vratka"". Vratka vydaná obchodníkem. Bylo zaregistrováno oznámení o vrácené částce %1. ID transakce: ""%2"". Dobropis nebyl vytvořen. Dobropis prosím vytvořte v offline režimu."
"The credit memo has been created automatically.","Dobropis byl automaticky vytvořen"
"Registered notification about refunded amount of %1.","Bylo zaregistrováno oznámení o vrácené částce %1."
"Canceled order online","Online zrušená objednávka"
"Canceled order offline","Offline zrušená objednávka"
"Approved the payment online.","Schválená platba online."
"There is no need to approve this payment.","Tuto platbu netřeba schválit."
"Denied the payment online","Online zamítnutá platba"
"Registered update about approved payment.","Registrované aktualizace schválených plateb."
"Registered update about denied payment.","Registrované aktualizace zamítnutých plateb."
"There is no update for the payment.","Žádné aktualizace plateb nejsou k dispozici."
"Voided authorization.","Neplatné ověření."
"Amount: %1.","Částka: %1."
"Transaction ID: ""%1""","ID transakce: ""%1"""
"The transaction ""%1"" cannot be captured yet.","Transakci ""%1"" již nelze zachytit."
"The parent transaction ID must have a transaction ID.","ID nadřazené transakce musí obsahovat ID transakce."
"Payment transactions disallow storing objects.","Platební transakce nepovoluje ukládání objektů."
"The transaction ""%1"" (%2) is already closed.","Transakce ""%1"" (%2) je již uzavřena."
"Set order for existing transactions not allowed","Není povoleno přiřadit objednávku k existující transakci"
"At minimum, you need to set a payment ID.","Minimum, je třeba nastavit ID platby."
"We found an unsupported transaction type ""%1"".","Byl nalezen nepodporovaný typ transakce ""%1""."
"Please set a proper payment and order id.","Nastavte prosím správnou platbu a ID objednávky."
"Please enter a Transaction ID.","Zadejte ID transakce prosím."
"You can't do this without a transaction object.","Bez objektu transakce tuto činnost nelze provést."
"Order Date: ","Datum objednávky: "
"Sold to:",Odběratel:
"Total Shipping Charges","Přepravné celkem"
"We found an invalid renderer model.","Byl nalezen neplatný model rendereru."
"Please define the PDF object before using.","Před použitím definujte PDF objekt."
"Total (ex)","Celkem (bez DPH)"
"Total (inc)","Celkem (s DPH)"
"Credit Memo # ","Dobropis č. "
"Invoice # ","Faktura č. "
"The order object is not specified.","Objekt objednávky není zadán."
"The source object is not specified.","Zdrojový objekt není zadán."
"An item object is not specified.","Objekt položky není zadán."
"A PDF object is not specified.","PDF objekt není zadán."
"A PDF page object is not specified.","Objekt PDF stránky není zadán."
"Packing Slip # ","Dodací list č. "
"The PDF total model %1 must be or extend \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal.","Celkem PDF model %1 musí být nebo rozšiřovat \Magento\Sales\Model\Order\Pdf\Total\DefaultTotal."
"We cannot register an existing shipment","Nelze zaregistrovat existující zásilku"
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","Model celkem by měl být rozšiřovat \Magento\Sales\Model\Order\Total\AbstractTotal."
"We can't save the address:\n%1","Adresu nelze uložit: \n%1"
"We don't have enough information to save the parent transaction ID.","K uložení nadřazené ID transakce nemáme dostatek údajů."
"We cannot create an empty shipment.","Prázdnou zásilku nelze vytvořit."
"Cannot save track:\n%1","Trasu nelze uložit:\n%1"
"New Orders","Nové objednávky"
"Order #%1 created at %2","Objednávka č. %1 vytvořena v %2"
"Details for %1 #%2","Podrobnosti pro %1 č. %2"
"Notified Date: %1","Datum oznámení: %1"
"Comment: %1<br/>","Komentář: %1 <br/>"
"Current Status: %1<br/>","Aktuální stav: %1<br/>"
"Total: %1<br/>","Celkem: %1<br/>"
"Order # %1 Notification(s)","Oznámení objednávky č. %1"
"You can not cancel Credit Memo","Dobropis nelze zrušit"
